customer_id,country,province,city,industry_code,employee_count,sales,duration
SYNCID0000000000,CA,ON,NORTH YORK,7292,0.0,0.0,1045.0
SYNCID0000000001,CA,ON,NORTH YORK,7771,1.0,66446.0,31.0
SYNCID0000000002,CA,ON,KITCHENER,7721,2.0,0.0,156.0
SYNCID0000000004,CA,QC,LAVAL,4565,1.0,328160.0,752.0
SYNCID0000000005,CA,BC,VICTORIA,7799,1.0,0.0,345.0
SYNCID0000000006,CA,BC,VANCOUVER,7761,0.0,0.0,4.0
SYNCID0000000007,CA,BC,PENTICTON,7292,1.0,33642.0,11441.0
SYNCID0000000008,CA,ON,TORONTO,9659,0.0,0.0,-273.0
SYNCID0000000009,CA,QC,MONTREAL,8653,1.0,73595.0,2395.0
SYNCID0000000010,CA,ON,TORONTO,7511,0.0,114578.0,243.0
SYNCID0000000011,CA,ON,NORTH BAY,9949,1.0,40498.0,62.0
SYNCID0000000012,CA,ON,BRAMPTON,4561,1.0,0.0,1458.0
SYNCID0000000013,CA,ON,LONDON,8661,1.0,164853.0,39.0
SYNCID0000000014,CA,ON,MARKHAM,4275,0.0,0.0,132.0
SYNCID0000000015,CA,ON,TORONTO,7771,1.0,411312.0,218.0
SYNCID0000000016,CA,ON,TRENTON,6312,1.0,0.0,-290.0
SYNCID0000000017,CA,ON,TORONTO,9931,0.0,0.0,123.0
SYNCID0000000018,CA,ON,SCARBOROUGH,7799,2.0,0.0,26.0
SYNCID0000000019,CA,BC,COQUITLAM,0112,1.0,214530.0,31.0
SYNCID0000000021,CA,ON,WINDSOR,7761,0.0,0.0,3946.0
SYNCID0000000022,CA,ON,KEMPTVILLE,9811,0.0,0.0,64.0
SYNCID0000000023,CA,NS,SYDNEY,6011,1.0,1.0,83.0
SYNCID0000000024,CA,ON,MIDLAND,7292,3.0,0.0,465.0
SYNCID0000000025,CA,AB,EDMONTON,7752,1.0,0.0,1731.0
SYNCID0000000026,CA,BC,SURREY,9211,1.0,156751.0,219.0
SYNCID0000000027,CA,ON,MISSISSAUGA,5622,1.0,50543.0,75.0
SYNCID0000000029,CA,ON,GODERICH,9712,1.0,111702.0,7.0
SYNCID0000000031,CA,ON,ETOBICOKE,7771,3.0,0.0,28.0
SYNCID0000000032,CA,ON,TRENTON,4274,1.0,60171.0,67.0
SYNCID0000000033,CA,ON,TORONTO,7722,1.0,1266703.0,2.0
SYNCID0000000034,CA,ON,LONDON,0911,1.0,120311.0,582.0
SYNCID0000000035,CA,ON,TORONTO,9631,1.0,0.0,3.0
SYNCID0000000036,CA,ON,NORTH YORK,9949,1.0,0.0,56.0
SYNCID0000000037,CA,ON,SCARBOROUGH,7752,4.0,0.0,1.0
SYNCID0000000038,CA,AB,EDMONTON,8652,0.0,0.0,52.0
SYNCID0000000039,CA,ON,MARKHAM,7215,2.0,135350.0,195.0
SYNCID0000000040,CA,PE,STRATFORD,4013,0.0,0.0,3.0
SYNCID0000000041,CA,QC,MONTREAL,7731,1.0,3167.0,43.0
SYNCID0000000042,CA,ON,COLLINGWOOD,1099,0.0,0.0,45.0
SYNCID0000000043,CA,ON,OTTAWA,7215,1.0,0.0,22.0
SYNCID0000000044,CA,ON,GUELPH,7292,6.0,1244589.0,141.0
SYNCID0000000045,CA,ON,SARNIA,4561,1.0,0.0,659.0
SYNCID0000000046,CA,ON,MILTON,4561,7.0,419221.0,378.0
SYNCID0000000047,CA,ON,SCARBOROUGH,8611,1.0,298649.0,-483.0
SYNCID0000000048,CA,BC,MACKENZIE,7215,1.0,0.0,168.0
SYNCID0000000050,CA,QC,MONTREAL,7611,0.0,0.0,750.0
SYNCID0000000051,CA,ON,WATERLOO,4013,3.0,117153.0,94.0
SYNCID0000000052,CA,ON,SCARBOROUGH,3999,4.0,5536277.0,7662.0
SYNCID0000000053,CA,NS,BEDFORD,9141,1.0,139384.0,536.0
SYNCID0000000054,CA,ON,THORNHILL,9953,5.0,732400.0,177.0
SYNCID0000000055,CA,AB,AIRDRIE,7771,0.0,0.0,123.0
